px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0.001	0.001	0	0	0	0	0	0	0	0	0	0
0.346452	-0.346218	0	0	0	0	0	0	0	0	0	0
1.53698	-0.131583	1.27577	-2.77556e-17	9.47586e-34	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	2.54395
1.62269	0.0184594	1.98644	-0.0468889	-0.0261894	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	30.8854
3.88102	-0.129325	2.72175	-0.175615	-0.118832	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	3.84598
3.95171	0.0722785	3.10985	0.132799	0.0779648	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	158.715
6.85651	0.415489	3.92018	0.200551	0.0813553	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	11.4284
6.76754	0.441161	2.99373	0.25863	0.175193	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	375.939
8.99588	0.802278	3.26244	-0.0653362	-0.194952	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	40.8723
8.99565	0.885203	3.30107	-0.0442671	-0.180398	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	754.067
11.569	1.66211	3.52515	0.330532	0.134791	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	209.437
11.3794	1.66585	3.04531	0.350095	0.201745	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	1218.94
13.6047	2.32603	2.13522	0.327079	0.0376694	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	268.681
13.6613	2.30644	2.48965	0.288181	-0.0337578	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	1740.73
16.6206	2.90205	3.76348	0.0261246	-0.182179	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	296.517
16.5411	2.88218	3.1079	-0.0171958	-0.250597	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	2471.89
19.0112	3.6957	2.94227	0.382259	0.157765	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	347.124
19.0772	3.71885	2.76282	0.434476	0.209645	19.363	3.87122	18.923	3.74161	2.61382	0.95648	3522.51
21.3249	4.73311	3.01992	0.435767	0.075121	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	494.026
21.3798	4.7427	3.04401	0.424231	0.0720668	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	4437.52
24.0677	5.57031	3.50034	0.192834	-0.120728	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	680.112
24.1634	5.59822	3.34274	0.165099	-0.144613	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	5777.2
26.6086	6.95259	3.21413	0.617138	0.234971	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	546.987
26.5955	6.94671	3.30513	0.602082	0.214127	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	6777.34
29.5714	8.08847	3.75695	0.249095	-0.154585	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	1073.7
29.5442	8.07463	3.32154	0.231816	-0.175649	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	8491.97
31.9449	9.86903	3.27407	0.818853	0.312353	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	818.567
31.9004	9.84663	3.30774	0.797498	0.285826	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	9912.33
34.6083	10.7128	2.56048	0.192678	-0.293324	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	1399.64
34.7151	10.7656	3.04946	0.188776	-0.267848	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	12222.8
37.1401	12.0772	3.11122	0.604588	0.168022	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	1309.18
37.2175	12.1027	3.29342	0.602112	0.157497	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	14016.1
40.31	13.4636	4.09071	0.272894	-0.159639	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	1995.71
40.2277	13.428	3.33152	0.228285	-0.215348	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	16076.5
42.7681	14.8207	3.31643	0.586747	0.154074	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	1533.88
42.7434	14.8142	3.35044	0.578497	0.14405	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	18304.5
45.3478	16.5492	3.83935	0.575507	0.0479272	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	2504.78
45.3836	16.5612	3.48053	0.599293	0.120355	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	21311.7
48.1511	17.2908	3.22732	0.147604	-0.243822	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	2755.75
48.124	17.2804	3.01441	0.130321	-0.271949	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	23491.3
50.6192	19.0548	3.12771	0.879163	0.386291	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	2936.92
50.6003	19.0384	3.30606	0.814426	0.298611	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	26151.1
53.7117	19.9109	2.88024	0.0684319	-0.389342	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	3702.39
53.679	19.9055	2.92271	0.0983693	-0.347573	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	29439.7
56.0331	21.0777	2.76812	0.544528	0.164859	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	3953.51
56.0032	21.0629	2.82706	0.517532	0.137033	55.867	20.985	55.9669	20.9874	2.56561	0.978022	32123.9
58.6509	21.7867	3.20906	0.109225	-0.216615	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	4038.94
58.6489	21.7852	3.09739	0.0926165	-0.239564	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	35220
60.8784	22.7783	2.66322	0.450165	0.144426	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	4530.61
60.8561	22.7661	2.78743	0.425508	0.12097	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	37913
63.3739	23.4108	3.07881	0.155445	-0.130266	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	4179.29
63.454	23.4369	2.7959	0.1076	-0.188672	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	41567.6
66.3245	23.9881	3.63468	0.265623	0.0344808	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	5325.93
66.2149	23.9556	2.62781	0.276978	0.00492948	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	44353.1
